0.png,0.55735856,dining table,37,100,289,296
1.png,0.62940514,train,5,33,156,128
2.png,0.9974975,person,0,57,85,217
3.png,0.82375365,chair,283,108,596,286
4.png,0.996811,laptop,93,83,230,205
5.png,0.99570954,person,179,61,392,166
6.png,0.7912593,book,29,112,120,245
7.png,0.85074097,laptop,150,82,342,189
8.png,0.99027705,person,47,76,127,181
9.png,0.8655911,chair,202,76,425,180
10.png,0.8341719,person,139,70,295,164
11.png,0.9909156,mouse,97,122,213,254
12.png,0.676222,cup,136,97,281,214
13.png,0.99588865,sports ball,160,107,332,225
14.png,0.79340565,cup,193,96,393,206
